8  8   16   0.5066475026949335  0.08300395256916995
8  9   17   0.46250239259330567  0.10526082862836084
8  10  18   0.6096607938152993  0.2140252840723416
8  11  19   0.5967581395566757  0.22517576944521228
8  12  20   0.7016329340191906  0.2230880759288965
8  13  21   0.1521766205138001  0.07608831025690005
8  14  22   0.15612023368775924  0.07806011684387965
8  15  23   nan   nan
8  16  24   nan   nan
8  17  25   nan   nan
8  18  26   nan   nan
8  19  27   nan   nan
9  8   17   0.5942522964866785  0.1683647540920683
9  9   18   0.46361796990954296  0.08071159564459754
9  10  19   0.5165262733636508  0.0805348373264021
9  11  20   0.7501343253564627  0.19757474055863244
9  12  21   0.21327496818774905  0.058823529411764705
9  13  22   0.6250046804208634  0.2180102594825326
9  14  23   nan   nan
9  15  24   nan   nan
9  16  25   nan   nan
9  17  26   nan   nan
9  18  27   nan   nan
9  19  28   nan   nan
9  20  29   nan   nan
9  21  30   nan   nan
10  8  18   0.7174603174603174  0.2222222222222222
10  9  19   0.5059040210397565  0.12124174845153396
10  10  20  0.5967973808101197  0.08283050023884572
10  11  21  0.6288372929818852  0.11105665527502094
10  12  22  0.6230282751128  0.1201602279949918
10  13  23  0.28819446778262414  0.1395445782042573
10  14  24  0.5252223231182542  0.2222222222222222
10  15  25  0.0  0.0
10  16  26  0.299815295964466  0.149907647982233
10  17  27  0.06997021330016095  0.03498510665008048
10  18  28  0.4225954175207065  0.21129770876035325
10  19  29  0.0  0.0
10  20  30  0.579337159785225  0.2896685798926125
10  21  31  nan  nan
10  22  32  0.527456793624205  0.26372839681210253
10  23  33  nan  nan
11  8  19   nan  nan
11  9  20   0.6381645200268832  0.1875207892095888
11  10  21  0.4603665280270851  0.12136090981115322
11  11  22  0.7778494701291245  0.31358497458522994
11  12  23  0.2842366520570111  0.09472620550076741
11  13  24  1.030667702228087  0.18316492111417065
11  14  25  0.3260729946548154  0.10055717082324594
11  15  26  0.009423347708930663  0.004711673854465359
11  16  27  0.857142857142857  0.24749903775898735
11  17  28  0.5893038698142001  0.2946519349071001
11  18  29  0.10684078264300512  0.05342039132150256
11  19  30  0.5253396729735431  0.2626698364867716
11  20  31  0.08993777450989776  0.04496888725494891
11  21  32  0.0  0.0
11  22  33  0.08589959933134911  0.04294979966567458
11  23  34  nan  nan
11  24  35  nan  nan
11  25  36  nan  nan
12   9  21  0.792038224617 0.27946443253
12  10  22  0.547363682286 0.215042708318
12  11  23  nan  nan
12  12  24  0.539892003937 0.146044700371
12  13  25  0.724551516053 0.209289025303
12  14  26  0.655986137409 0.145949562994
12  15  27  0.637532861006 0.216736101137
12  16  28  0.631901188305 0.160275831598
12  17  29  0.0  0.0
12  18  30  0.272136969247 0.136068484623
12  19  31  0.370560104556 0.185280052278
12  20  32  0.4522535753 0.22612678765
12  21  33  0.0  0.0
12  22  34  0.363195268904 0.181597634452
12  23  35  nan  nan
12  24  36  0.424354195411 0.212177097706
12  25  37  nan  nan
12  26  38  nan  nan
12  27  39  nan  nan
13  9  22  0.0927598042735  0.0463799021367
13  10  23  0.135747955555  0.0616155304172
13  11  24  1.00457957989  0.260401878334
13  12  25  0.650996153992  0.282521281935
13  13  26  0.44083932147  0.127797027256
13  14  27  0.922842153164  0.262288131439
13  15  28  0.872192018896  0.187608296214
13  16  29  0.581101777693  0.192019958764
13  17  30  1.15283837483  0.205937903437
13  18  31  0.0  0.0
13  19  32  0.188257818461  0.0941289092305
13  20  33  0.0  0.0
13  21  34  0.0  0.0
13  22  35  0.0  0.0
13  23  36  nan  nan
13  24  37  nan  nan
13  25  38  nan  nan
13  26  39  nan  nan
13  27  40  nan  nan
13  28  41  nan  nan
13  29  42  nan  nan
14  9  23  nan  nan
14  10  24  0.325172940931  0.162586470465
14  11  25  0.0  0.0
14  12  26  0.508391337789  0.254195668894
14  13  27  nan  nan
14  14  28  0.479515302871  0.151888213178
14  15  29  0.702198747773  0.165188446918
14  16  30  0.595083395235  0.110372939318
14  17  31  0.418738944963  0.113367947737
14  18  32  0.429920315894  0.191753977253
14  19  33  0.225537725991  0.112768862995
14  20  34  0.320654013303  0.160327006651
14  21  35  0.111360917185  0.0556804585923
14  22  36  0.455901405759  0.22795070288
14  23  37  0.0  0.0
14  24  38  0.451273545686  0.225636772843
14  25  39  nan  nan
14  26  40  0.427283240161  0.213641620081
14  27  41  nan  nan
14  28  42  0.418968346499  0.209484173249
14  29  43  nan  nan
14  30  44  nan  nan
15  9  24  nan  nan
15  10  25  nan  nan
15  11  26  nan  nan
15  12  27  0.249996353267  0.124998176633
15  13  28  0.853586192051  0.248334853675
15  14  29  0.731547086403  0.251190313208
15  15  30  0.718992620759  0.155421588921
15  16  31  0.825514903772  0.19131540855
15  17  32  0.68259544133  0.178604905649
15  18  33  nan  nan
15  19  34  0.933223983962  0.234949274042
15  20  35  0.249174138745  0.0887210948561
15  21  36  0.604834822036  0.302417411018
15  22  37  0.27254641396  0.0915026527109
15  23  38  nan  nan
15  24  39  0.285452082192  0.142726041096
15  25  40  nan  nan
15  26  41  0.0456060649033  0.0228030324517
15  27  42  nan  nan
15  28  43  0.284778334614  0.142389167307
15  29  44  nan  nan
15  30  45  nan  nan
15  31  46  nan  nan
16  10  26  nan  nan
16  11  27  nan  nan
16  12  28  0.366149991246  0.183074995623
16  13  29  0.309977585086  0.154988792543
16  14  30  1.16248834278  0.202375382243
16  15  31  0.468745603637  0.101286564594
16  16  32  0.869632369934  0.155714629379
16  17  33  nan  nan
16  18  34  0.675787068021  0.110152130073
16  19  35  nan  nan
16  20  36  0.568748155256  0.123187171855
16  21  37  0.678885210235  0.185759146978
16  22  38  0.404834438056  0.178194912759
16  23  39  0.0  0.0
16  24  40  0.461768197719  0.230884098859
16  25  41  0.0  0.0
16  26  42  0.450900022789  0.225450011394
16  27  43  0.0  0.0
16  28  44  0.116811685216  0.0584058426081
16  29  45  nan  nan
16  30  46  0.46759939148  0.23379969574
16  31  47  nan  nan
16  32  48  nan  nan
17  11  28  nan  nan
17  12  29  nan  nan
17  13  30  nan  nan
17  14  31  0.506184026186  0.154643291647
17  15  32  0.85567417482  0.163206509873
17  16  33  0.624192985613  0.141705085802
17  17  34  0.911878640434  0.141149014163
17  18  35  0.54973241716  0.101743656498
17  19  36  0.784542037535  0.183259244507
17  20  37  nan  nan
17  21  38  0.583654685304  0.17309789065
17  22  39  0.806132348404  0.170738213622
17  23  40  0.33783928557  0.0902726045808
17  24  41  0.281789164479  0.14089458224
17  25  42  0.388968114494  0.194484057247
17  26  43  0.0  0.0
17  27  44  0.0477863731978  0.0238931865989
17  28  45  0.0  0.0
17  29  46  nan  nan
17  30  47  nan  nan
17  31  48  nan  nan
17  32  49  nan  nan
17  33  50  nan  nan
18  12  30  nan  nan
18  13  31  nan  nan
18  14  32  0.346805606045  0.173402803023
18  15  33  0.451703657868  0.225851828934
18  16  34  0.0818296192889  0.0409148096445
18  17  35  0.55014584007  0.113362053411
18  18  36  0.808076793123  0.117003250218
18  19  37  0.402410971241  0.119340139783
18  20  38  0.777503175654  0.191562645834
18  21  39  0.973749424664  0.198510042026
18  22  40  0.565781453235  0.13187125601
18  23  41  0.66726929225  0.168287439564
18  24  42  0.430301864405  0.132653238925
18  25  43  0.141295907604  0.070647953802
18  26  44  0.355758185746  0.139731427022
18  27  45  nan  nan
18  28  46  0.485831407001  0.242915703501
18  29  47  0.0  0.0
18  30  48  0.364228996739  0.182114498369
18  31  49  nan  nan
18  32  50  nan  nan
18  33  51  nan  nan
18  34  52  nan  nan
19  13  32  nan  nan
19  14  33  nan  nan
19  15  34  nan  nan
19  16  35  0.0  0.0
19  17  36  0.274282308257  0.125375999778
19  18  37  0.16562366054  0.0682186981376
19  19  38  0.729560032368  0.122836364884
19  20  39  nan  nan
19  21  40  0.431369721866  0.10115982754
19  22  41  nan  nan
19  23  42  1.04839049054  0.200665833503
19  24  43  nan  nan
19  25  44  0.655165519538  0.327582759769
19  26  45  0.450031186801  0.141114509788
19  27  46  0.307676920479  0.153838460239
19  28  47  0.68710069151  0.124868749997
19  29  48  0.0  0.0
19  30  49  0.388123943149  0.194061971574
19  31  50  0.0  0.0
19  32  51  nan  nan
19  33  52  nan  nan
19  34  53  nan  nan
19  35  54  nan  nan
19  36  55  nan  nan
20  14  34  nan  nan
20  15  35  nan  nan
20  16  36  0.518754423213  0.259377211607
20  17  37  0.273985634208  0.136992817104
20  18  38  0.349430788195  0.174715394098
20  19  39  nan  nan
20  20  40  1.29340540541  0.246918918919
20  21  41  0.516030710347  0.108393945731
20  22  42  0.768315737711  0.21232632372
20  23  43  nan  nan
20  24  44  0.542944106829  0.0899969951509
20  25  45  0.619687645985  0.142752794871
20  26  46  0.607218683652  0.0822171225178
20  27  47  0.44998417093  0.0940903179832
20  28  48  0.465676201055  0.0784885111671
20  29  49  0.326372841709  0.163186420855
20  30  50  1.1109248252  0.313058149059
20  31  51  0.0  0.0
20  32  52  0.59060273445  0.295301367225
20  33  53  0.0  0.0
20  34  54  nan  nan
20  35  55  nan  nan
